nohup: ignoring input
[Config] CUDA detected: NVIDIA RTX A6000 x2
[Utils] Random seed set to 42
============================================================
  1D-DDPM Generation Pipeline
============================================================
  Device:       cuda
  Checkpoint:   logs/deep_v6/checkpoint_final.pt
  Scaler:       logs/deep_v6/scaler.pt
  Num samples:  5120
  Batch size:   64
  Use EMA:      True
  Output:       output/deep_v6.csv
============================================================

[Step 1] Loading scaler...
[Scaler] Parameters loaded from logs/deep_v6/scaler.pt
  sp500: mean=0.000315, std=0.010551
  DGS10: mean=0.000026, std=0.066899
  Found run configuration: /home/u00134/src/logs/deep_v6/config.json
  Loaded model config: channel_dims=[256, 512, 1024], time_emb_dim=512, T=3000

[Step 2] Loading model...
  Loaded EMA weights
  Trained epoch: 6999
  U-Net parameters: 42,121,730

[Step 3] Generating 5120 paths...

  --- Batch 1 (64 samples) ---
  [Scheduler] Reverse step 100/3000  x range: [-5.566, 5.495]
  [Scheduler] Reverse step  50/3000  x range: [-5.092, 5.456]
  [Scheduler] Reverse step   0/3000  x range: [-4.981, 5.298]
  Generated: 256/5120

  --- Batch 5 (64 samples) ---
  [Scheduler] Reverse step 2999/3000  x range: [-4.501, 4.753]
  [Scheduler] Reverse step 2950/3000  x range: [-4.628, 4.250]
  [Scheduler] Reverse step 2900/3000  x range: [-4.695, 4.816]
  [Scheduler] Reverse step 2850/3000  x range: [-4.555, 4.398]
  [Scheduler] Reverse step 2800/3000  x range: [-4.460, 4.392]
  [Scheduler] Reverse step 2750/3000  x range: [-4.452, 4.786]
  [Scheduler] Reverse step 2700/3000  x range: [-4.648, 4.624]
  [Scheduler] Reverse step 2650/3000  x range: [-4.302, 4.506]
  [Scheduler] Reverse step 2600/3000  x range: [-4.674, 4.642]
  [Scheduler] Reverse step 2550/3000  x range: [-4.601, 4.787]
  [Scheduler] Reverse step 2500/3000  x range: [-4.684, 4.430]
  [Scheduler] Reverse step 2450/3000  x range: [-4.738, 4.491]
  [Scheduler] Reverse step 2400/3000  x range: [-4.500, 4.225]
  [Scheduler] Reverse step 2350/3000  x range: [-4.396, 4.172]
  [Scheduler] Reverse step 2300/3000  x range: [-4.424, 4.772]
  [Scheduler] Reverse step 2250/3000  x range: [-4.814, 4.433]
  [Scheduler] Reverse step 2200/3000  x range: [-4.564, 4.308]
  [Scheduler] Reverse step 2150/3000  x range: [-4.271, 4.648]
  [Scheduler] Reverse step 2100/3000  x range: [-4.423, 4.676]
  [Scheduler] Reverse step 2050/3000  x range: [-4.311, 4.524]
  [Scheduler] Reverse step 2000/3000  x range: [-4.610, 4.394]
  [Scheduler] Reverse step 1950/3000  x range: [-4.831, 4.670]
  [Scheduler] Reverse step 1900/3000  x range: [-4.854, 4.600]
  [Scheduler] Reverse step 1850/3000  x range: [-4.484, 4.284]
  [Scheduler] Reverse step 1800/3000  x range: [-5.041, 4.858]
  [Scheduler] Reverse step 1750/3000  x range: [-4.634, 4.504]
  [Scheduler] Reverse step 1700/3000  x range: [-4.267, 4.828]
  [Scheduler] Reverse step 1650/3000  x range: [-4.947, 4.708]
  [Scheduler] Reverse step 1600/3000  x range: [-4.481, 4.632]
  [Scheduler] Reverse step 1550/3000  x range: [-4.329, 4.491]
  [Scheduler] Reverse step 1500/3000  x range: [-4.709, 4.313]
  [Scheduler] Reverse step 1450/3000  x range: [-5.368, 4.316]
  [Scheduler] Reverse step 1400/3000  x range: [-4.256, 4.497]
  [Scheduler] Reverse step 1350/3000  x range: [-4.457, 4.613]
  [Scheduler] Reverse step 1300/3000  x range: [-4.482, 5.037]
  [Scheduler] Reverse step 1250/3000  x range: [-4.973, 5.096]
  [Scheduler] Reverse step 1200/3000  x range: [-4.650, 4.534]
  [Scheduler] Reverse step 1150/3000  x range: [-5.086, 4.432]
  [Scheduler] Reverse step 1100/3000  x range: [-4.908, 4.263]
  [Scheduler] Reverse step 1050/3000  x range: [-5.038, 4.779]
  [Scheduler] Reverse step 1000/3000  x range: [-5.030, 4.421]
  [Scheduler] Reverse step 950/3000  x range: [-4.786, 4.705]
  [Scheduler] Reverse step 900/3000  x range: [-4.623, 4.772]
  [Scheduler] Reverse step 850/3000  x range: [-4.379, 4.169]
  [Scheduler] Reverse step 800/3000  x range: [-5.027, 4.404]
  [Scheduler] Reverse step 750/3000  x range: [-4.422, 4.451]
  [Scheduler] Reverse step 700/3000  x range: [-4.474, 4.593]
  [Scheduler] Reverse step 650/3000  x range: [-4.680, 4.627]
  [Scheduler] Reverse step 600/3000  x range: [-4.725, 4.796]
  [Scheduler] Reverse step 550/3000  x range: [-4.819, 4.788]
  [Scheduler] Reverse step 500/3000  x range: [-4.873, 4.815]
  [Scheduler] Reverse step 450/3000  x range: [-5.372, 4.869]
  [Scheduler] Reverse step 400/3000  x range: [-5.419, 5.290]
  [Scheduler] Reverse step 350/3000  x range: [-5.441, 5.627]
  [Scheduler] Reverse step 300/3000  x range: [-5.280, 5.359]
  [Scheduler] Reverse step 250/3000  x range: [-5.463, 5.259]
  [Scheduler] Reverse step 200/3000  x range: [-5.424, 5.248]
  [Scheduler] Reverse step 150/3000  x range: [-5.373, 5.336]
  [Scheduler] Reverse step 100/3000  x range: [-5.310, 5.383]
  [Scheduler] Reverse step  50/3000  x range: [-5.064, 5.727]
  [Scheduler] Reverse step   0/3000  x range: [-4.991, 5.488]
  Generated: 320/5120

  --- Batch 6 (64 samples) ---
  [Scheduler] Reverse step 2999/3000  x range: [-4.499, 4.326]
  [Scheduler] Reverse step 2950/3000  x range: [-4.158, 4.439]
  [Scheduler] Reverse step 2900/3000  x range: [-4.918, 4.432]
  [Scheduler] Reverse step 2850/3000  x range: [-4.792, 4.858]
  [Scheduler] Reverse step 2800/3000  x range: [-4.304, 5.236]
  [Scheduler] Reverse step 2750/3000  x range: [-4.736, 4.384]
  [Scheduler] Reverse step 2700/3000  x range: [-4.895, 4.446]
  [Scheduler] Reverse step 2650/3000  x range: [-4.199, 4.811]
  [Scheduler] Reverse step 2600/3000  x range: [-4.487, 4.472]
  [Scheduler] Reverse step 2550/3000  x range: [-4.566, 5.376]
  [Scheduler] Reverse step 2500/3000  x range: [-4.854, 4.273]
  [Scheduler] Reverse step 2450/3000  x range: [-4.683, 4.567]
  [Scheduler] Reverse step 2400/3000  x range: [-4.499, 4.106]
  [Scheduler] Reverse step 2350/3000  x range: [-4.498, 4.420]
  [Scheduler] Reverse step 2300/3000  x range: [-4.659, 4.926]
  [Scheduler] Reverse step 2250/3000  x range: [-4.410, 4.666]
  [Scheduler] Reverse step 2200/3000  x range: [-4.244, 4.715]
  [Scheduler] Reverse step 2150/3000  x range: [-4.525, 4.942]
  [Scheduler] Reverse step 2100/3000  x range: [-4.485, 4.477]
  [Scheduler] Reverse step 2050/3000  x range: [-4.431, 4.387]
  [Scheduler] Reverse step 2000/3000  x range: [-4.397, 5.152]
  [Scheduler] Reverse step 1950/3000  x range: [-4.766, 4.772]
  [Scheduler] Reverse step 1900/3000  x range: [-4.471, 4.119]
  [Scheduler] Reverse step 1850/3000  x range: [-4.264, 4.413]
  [Scheduler] Reverse step 1800/3000  x range: [-4.278, 5.263]
  [Scheduler] Reverse step 1750/3000  x range: [-4.729, 4.693]
  [Scheduler] Reverse step 1700/3000  x range: [-4.390, 4.585]
  [Scheduler] Reverse step 1650/3000  x range: [-4.767, 4.669]
  [Scheduler] Reverse step 1600/3000  x range: [-4.601, 4.100]
  [Scheduler] Reverse step 1550/3000  x range: [-4.541, 4.459]
  [Scheduler] Reverse step 1500/3000  x range: [-4.698, 4.652]
  [Scheduler] Reverse step 1450/3000  x range: [-4.773, 4.780]
